Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện thoại vivo Y22s (8GB - 128GB) - Hàng Chính Hãng,Vivo,,Android,,,,,,,,,5990000
Điện thoại Tecno POVA 5 (8+8)/256GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng -  BH 13 Tháng,Tecno,,Android,6.8 inch,,,,,MediaTek G99,,,4790000
Điện thoại POCO M5 4GB+64GB - Pin 5000mAh - MediaTek Helio G99 -  Sạc nhanh 18W - Hàng chính hãng,Xiaomi,,Android,6.59 inch,5000mah,,4GB,64GB,MediaTek Helio G99,,,2596000
Điện thoại Tecno CAMON 20 Pro 8GB/256GB - Camera 64MP + 32MP | Helio G99 | 5000 mAh/ 33W | 6.7'' FHD AMOLED - Hàng Chính Hãng - BH 13 Tháng,Tecno,,Android,,,,,,,,,5090000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.6 inch,,,,,MediaTek Dimensity 1080 8 nhân,,,6099000
Điện thoại Tecno SPARK 10 4GB/128GB - Camera 50MP | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,Tecno,,Android,,,,,,Helio G37,,,2970000
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.6 inch,6000,,4GB,128GB,Exynos 1330 (5nm),"2.4GHz, 2GHz",,3590000
"[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67""",Vivo,,Android,6.67 inch,4800 mAh,,8GB,256GB,,,,8990000
[MỚI] Điện thoại vivo Y17s - Hàng chính hãng - Camera 50MP - Pin 5000 mAh - Sạc nhanh- RAM mở rộng đến 8GB,Vivo,,Android,,,,,,,,,3990000
Điện thoại VIVO Y02t - Hàng chính hãng - Pin Khủng 5000mAh - Màn hình 6.51HD+,Vivo,,Android,6.5 inch,5.000 mAh,,4GB,, Helio P35,,,3290000
"Điện thoại oukitel WP22 (Loa to,Chống nước ,chống sốc IP68/IP69K,Ram 13Gb(8GB+5Gb mở rộng),Rom 256Gb,Màn hình 6.58 FHD,tầm nhìn ban đêm,Pin 10.000mAh)- Hàng chính hãng",Oukitel,,Android,,,,,,CPU: MTK Helio P90,,,5990000
Điện Thoại Samsung M34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.5 inch,6000 mAh,,8GB,128GB,Exynos 1280 8 nhân,,2 nhân 2.4 GHz &amp; 6 nhân 2 GHz,6449000
Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.6 inch,5000 mAh,,128GB,4GB,Exynos 850,,,3672000
Điện thoại Masstel Hapi 30 4G Hàng Chính Hãng,Masstel,,Android,,,,,,,,,998000
Điện Thoại Samsung A04 3GB/32GB - Hàng Chính Hãng,Samsung,,Android,, 5000 mAh,,32GB,3GB, Mediatek Helio P35,,MediaTek Helio P35,2135000
Điện thoại Samsung Galaxy A05 (4GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,,Android,6.7 inch,5000 mAh,,4GB,128GB,Mediatek Helio G85,4 nhân 2.0 GHz &amp; 4 nhân 1.8 GHz,Mali-G52,2790000
Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,OPPO,,Android,6.5 inch,,,4GB,128GB,MediaTek Helio P35,,,3490000
Điện thoại OPPO Reno8T 5G (8GB/128GB) - Hàng chính hãng,OPPO,,Android,,,,,,,,,7700000
